,Branch_ID,Date,Revenue,Customers,Operating_Costs,Profit,Conversion_Rate,Customer_Satisfaction,Ad_Spend,Product_Returns
0,D,2024-08-01,7062,280,3734,3328,0.08,8,3502,8
1,E,2024-08-02,17076,239,3843,13233,0.14,5,2819,6
2,C,2024-08-03,5064,274,2488,2576,0.12,9,1717,0
3,E,2024-08-04,13006,178,4976,8030,0.15,6,3782,2
4,E,2024-08-05,7568,170,3959,3609,0.08,6,4455,12
5,B,2024-08-06,10463,76,7759,2704,0.11,9,4635,16
6,C,2024-08-07,18440,239,4385,14055,0.11,8,1850,0
7,C,2024-08-08,7027,170,4919,2108,0.15,6,4577,5
8,C,2024-08-09,7695,165,6736,959,0.06,8,2390,5
9,E,2024-08-10,14687,254,3802,10885,0.08,6,1143,11
10,D,2024-08-11,10258,282,7534,2724,0.07,6,1884,12
11,C,2024-08-12,10618,52,6061,4557,0.08,7,4140,12
12,F,2024-08-13,11736,152,5369,6367,0.1,6,4170,14
13,E,2024-08-14,5391,247,7730,-2339,0.09,5,1395,15
14,B,2024-08-15,18986,249,2262,16724,0.09,9,4096,10
15,D,2024-08-16,17706,204,7883,9823,0.13,9,3995,4
16,F,2024-08-17,19624,186,2623,17001,0.14,8,3938,3
17,F,2024-08-18,17666,111,3016,14650,0.06,6,2492,2
18,B,2024-08-19,10892,214,5643,5249,0.07,5,4555,18
19,D,2024-08-20,8561,274,6976,1585,0.12,8,4636,19
20,E,2024-08-21,15470,100,4049,11421,0.09,7,4222,17
21,A,2024-08-22,11184,283,7423,3761,0.08,8,2167,14
22,D,2024-08-23,8099,221,5723,2376,0.08,8,3616,8
23,B,2024-08-24,11278,201,6548,4730,0.08,6,2062,16
24,F,2024-08-25,13392,256,5108,8284,0.13,7,3156,13
25,E,2024-08-26,19151,108,7279,11872,0.06,8,4764,14
26,D,2024-08-27,18067,167,6090,11977,0.12,5,2065,0
27,A,2024-08-28,8104,209,4056,4048,0.11,5,2209,2
28,A,2024-08-29,12215,145,5170,7045,0.08,9,3982,15
29,C,2024-08-30,17790,265,3682,14108,0.09,7,3445,10
30,C,2024-08-31,7454,282,4255,3199,0.08,7,4294,11
31,B,2024-09-01,16837,229,3154,13683,0.11,9,1633,9
32,D,2024-09-02,19039,162,6499,12540,0.06,8,2156,15
33,D,2024-09-03,13996,111,5191,8805,0.05,7,4234,7
34,F,2024-09-04,19434,290,3696,15738,0.11,5,2238,5
35,F,2024-09-05,7731,235,5991,1740,0.07,5,1732,11
36,F,2024-09-06,19183,101,6723,12460,0.06,6,1234,7
37,C,2024-09-07,15965,61,6682,9283,0.09,7,4914,3
38,D,2024-09-08,13154,88,3648,9506,0.06,8,3705,7
39,D,2024-09-09,14762,179,7539,7223,0.14,9,1750,17
40,A,2024-09-10,10056,180,3445,6611,0.05,9,3635,4
41,C,2024-09-11,19948,162,6199,13749,0.11,8,4080,8
42,E,2024-09-12,13110,150,5923,7187,0.09,6,4145,3
43,C,2024-09-13,18773,162,2253,16520,0.12,9,1953,16
44,E,2024-09-14,15882,233,5183,10699,0.08,7,3539,8
45,A,2024-09-15,8840,130,4557,4283,0.07,6,3960,0
46,B,2024-09-16,6028,236,7592,-1564,0.15,7,4324,19
47,D,2024-09-17,12385,162,2098,10287,0.13,5,4301,12
48,A,2024-09-18,5502,51,4200,1302,0.14,6,2542,15
