laptop_ID,Company,Product,Inches,ScreenResolution,Cpu
1,Acer,Swift 3,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz
2,Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz
3,Apple,Macbook Air,13.3,1440x900,Intel Core i5 1.8GHz
4,Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz
5,Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz
6,Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz
7,Apple,Macbook Air,13.3,1440x900,Intel Core i5 1.8GHz
8,Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz
9,Apple,"MacBook 12""",12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz
10,Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz
11,Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz
