laptop_ID,Ram,Memory,Gpu,Weight,Price_euros
1,8GB,256GB SSD,Intel UHD Graphics 620,1.6kg,770
2,8GB,128GB SSD,Intel Iris Plus Graphics 640,1.37kg,1339.69
3,8GB,128GB Flash Storage,Intel HD Graphics 6000,1.34kg,898.94
4,16GB,512GB SSD,AMD Radeon Pro 455,1.83kg,2537.45
5,8GB,256GB SSD,Intel Iris Plus Graphics 650,1.37kg,1803.6
6,16GB,256GB Flash Storage,Intel Iris Pro Graphics,2.04kg,2139.97
7,8GB,256GB Flash Storage,Intel HD Graphics 6000,1.34kg,1158.7
8,16GB,256GB SSD,AMD Radeon Pro 555,1.83kg,2439.97
9,8GB,256GB SSD,Intel HD Graphics 615,0.92kg,1262.4
10,8GB,256GB SSD,Intel Iris Plus Graphics 640,1.37kg,1518.55
11,16GB,512GB SSD,AMD Radeon Pro 560,1.83kg,2858
12,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,1.8kg,1983
13,16GB,512GB SSD,Nvidia GeForce MX150,1.3kg,1495
14,4GB,256GB SSD,AMD Radeon R5 M430,2.2kg,498.9
15,8GB,256GB SSD,AMD Radeon R5 M430,2.2kg,745
16,8GB,256GB SSD,Intel HD Graphics 620,1.86kg,575
17,4GB,500GB HDD,Intel HD Graphics 620,1.86kg,393.9
18,4GB,500GB HDD,Intel HD Graphics 520,1.86kg,344.99
19,8GB,1TB HDD,Nvidia GeForce 940MX,2.2kg,499
20,8GB,2TB HDD,Intel HD Graphics 620,2.2kg,519
