Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,profit,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,553.9715,27/09/2019,13:08,Cash,34.52350743,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,11/11/2019,10:29,Ewallet,26.23443586,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,17/04/2019,13:23,Credit card,24.82947993,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,490.048,26/12/2019,20:33,Cash,5.958964496,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,08/12/2019,10:37,Cash,12.2889365,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,12/06/2019,18:30,Cash,8.436501575,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,436.692,23/06/2019,14:36,Cash,8.198863102,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,27/06/2019,11:38,Cash,31.59610041,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,78.146,03/02/2019,17:15,Credit card,28.39738188,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,177.746,11/10/2019,13:27,Credit card,26.37665416,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,65.816,07/10/2019,18:07,Cash,16.73491195,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,112.142,26/05/2019,17:03,Ewallet,26.81826356,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,19/04/2019,10:25,Cash,38.20867547,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,14/07/2019,16:48,Cash,25.01155784,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,12/08/2019,19:21,Ewallet,6.873049351,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,593.436,24/06/2019,16:19,Ewallet,20.50336623,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,508.6355,01/09/2019,11:03,Credit card,13.90904053,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,09/03/2019,10:39,Credit card,12.07145483,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,15/06/2019,18:00,Credit card,10.52216641,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,25/03/2019,15:30,Cash,24.34801264,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,454.71,18/08/2019,11:24,Cash,44.26652692,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,14/06/2019,10:40,Cash,5.914170591,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,25/09/2019,12:20,Credit card,25.23856009,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,01/02/2019,11:15,Cash,27.83043308,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,283.1845,07/01/2019,17:36,Cash,14.58091566,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,442.756,03/03/2019,19:20,Credit card,8.188641074,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,22/02/2019,15:31,Ewallet,44.21185342,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,07/07/2019,12:17,Credit card,37.80431996,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,25/03/2019,19:48,Ewallet,13.76547992,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,07/10/2019,15:36,Ewallet,5.901032202,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,11/09/2019,19:39,Credit card,6.566235267,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,741.7615,02/07/2019,12:43,Ewallet,9.035384646,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,01/03/2019,14:49,Ewallet,38.98697763,5.1
